Tahun,Bulan,soekarno_hatta_jakarta_domestik,ngurah_rai_bali_domestik,juanda_surabaya_domestik,kualanamu_medan_domestik,hasanudin_makassar_domestik,soekarno_hatta_jakarta_internasional,ngurah_rai_bali_internasional,juanda_surabaya_internasional,kualanamu_medan_internasional
2006,Jan,1005200,136457,329764,169652,109646,238700,90043,31059,32757
2006,Feb,723717,107825,257149,138623,93528,202747,87314,27573,33073
2006,Mar,863592,119168,280060,125954,105850,237913,95400,29564,32790
2006,Apr,867901,142807,291600,156892,108381,238195,95890,28052,37047
2006,Mei,864382,125653,295221,147322,111989,247037,114824,28091,34629
2006,Jun,879827,134069,297728,149066,119449,273810,122951,34317,40176
2006,Jul,1019569,165858,337635,174983,141863,279520,132823,32046,37650
2006,Agu,938124,154563,326158,161806,133200,274241,14774,31971,67507
2006,Sep,877088,143650,284216,150232,124353,260491,132929,39138,33308
2006,Okt,828707,130328,255118,141810,107728,279357,135740,32909,35356
2006,Nov,977587,144359,284825,173411,133415,237240,121513,37145,34860
2006,Des,1034103,154584,312713,158444,123649,302819,118286,74157,46379
2007,Jan,866735,151069,301274,178255,119125,251459,131674,33536,36923
2007,Feb,635230,112306,236082,137660,93441,202386,120774,27109,30123
2007,Mar,830228,128666,270626,156088,110552,256929,136433,31642,34944
2007,Apr,1134174,136348,270891,162801,111920,266956,135710,29009,35251
2007,Mei,994805,152837,288669,162798,124718,275556,146565,29959,34686
2007,Jun,1001621,164609,288314,176319,121728,299240,158250,36899,42823
2007,Jul,1143997,203672,340639,202323,143273,304040,180830,34937,38481
2007,Agu,1065390,191489,321013,184786,142540,309905,171967,41491,40117
2007,Sep,892920,152411,269195,161437,143965,271150,163067,28267,30862
2007,Okt,1118994,189543,327779,188249,172130,288938,163987,38342,40665
2007,Nov,1080602,168766,332135,174431,158002,299326,153804,58353,40399
2007,Des,1133595,190508,324457,172387,182100,349118,140517,74066,46175
2008,Jan,1034289,179548,328446,202989,139850,256378,162363,36783,44898
2008,Feb,928984,160440,282242,165375,120389,257478,163701,30831,34815
2008,Mar,1046821,176039,310829,176427,130313,286383,163421,36016,37576
2008,Apr,924350,153204,275959,165088,118046,291244,155440,33293,36158
2008,Mei,966971,172161,281806,156609,139983,287303,172534,34617,34805
2008,Jun,981207,172523,281428,157456,128220,320480,175631,41212,43559
2008,Jul,1083393,200267,313235,166174,139306,327801,189607,40251,40416
2008,Agu,1046971,200401,298881,164588,140024,328825,212067,37648,37189
2008,Sep,806762,120893,221823,125256,100717,318103,192674,34031,37270
2008,Okt,1002079,181919,340406,168395,144726,270738,204431,46388,38728
2008,Nov,970318,161790,294919,151261,138028,327434,165207,42627,39659
2008,Des,1098045,174226,309608,155079,138659,310885,153264,46024,45475
2009,Jan,980935,176843,331528,175756,140407,242532,189096,37289,31242
2009,Feb,895941,136246,289383,149527,127764,245640,153238,34154,28056
2009,Mar,1074410,162372,319658,170956,147110,299938,174810,38497,35506
2009,Apr,966568,157008,311808,159213,135680,289584,184259,35404,32938
2009,Mei,1178594,191972,337949,154947,151062,286969,202755,37981,37016
2009,Jun,1164179,193138,356683,174902,150541,347772,201122,44522,45350
2009,Jul,1249817,225442,391103,190562,163200,334206,234265,41238,40757
2009,Agu,1127694,212774,381083,140257,157696,344401,262053,36308,36632
2009,Sep,1042837,183247,308402,157384,148946,321928,220070,41741,41066
2009,Okt,1244928,202924,433271,194955,178119,336722,244039,52822,44230
2009,Nov,1174931,199246,427065,171558,160807,373774,200779,47911,40520
2009,Des,1293066,211199,417994,186619,115750,392488,202289,54584,51164
2010,Jan,1176478,207334,388819,208514,174885,317858,224869,45980,44732
2010,Feb,1100169,177417,349148,160198,160367,308345,209228,36094,39230
2010,Mar,1225671,189836,337764,196749,188925,400223,207938,44646,45294
2010,Apr,1206909,203797,405263,198087,182210,364689,215368,39799,44525
2010,Mei,1292549,217123,422810,207410,187673,381709,226615,39363,43550
2010,Jun,1298975,228471,441067,218708,185722,440923,242782,48620,56186
2010,Jul,1450214,264617,476358,236892,220400,441844,268568,45032,48682
2010,Agu,1152985,218281,367383,199104,177523,409777,296000,38335,41294
2010,Sep,1309501,240567,455251,226741,207221,418064,246249,55997,50938
2010,Okt,1393142,249260,477450,229672,211576,404692,263306,50353,48779
2010,Nov,1312017,229486,449044,214522,202386,408783,222668,55043,43076
2010,Des,1550547,260061,474367,224539,213618,462906,206227,61665,55225
2011,Jan,1354230,266295,457763,253516,221048,377811,250125,48350,47161
